gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Gas1	1175.58958778531	-2.20540975436185	0.0559408646556385	-39.4239482699801	0	0
Masp1	1487.60776748795	-1.59511685097802	0.040938161637873	-38.9640566933112	0	0
Col4a2	2926.89076705077	-2.01227080205164	0.0613390841003856	-32.8056871334829	4.88518677923352e-236	3.62120897888025e-233
Stmn1	1446.41809375835	-1.89996535272687	0.0640099993009868	-29.6823210978785	1.29868897893251e-193	6.09691185976184e-191
Plxdc2	1090.44444473283	-2.00626059346673	0.0680354550313607	-29.4884570484897	4.04817536068546e-191	1.83917747677077e-188
Mest	3593.67493058447	-1.75033298426131	0.061952098716842	-28.2530054754298	1.30733670082669e-175	5.26072288412658e-173
P4ha3	1450.0246477194	-1.4157531241495	0.0512928789235841	-27.6013581974738	1.07171340704526e-167	3.68146624995743e-165
Cavin2	230.43354813679	-2.76611843600094	0.10280879042379	-26.9054662018557	1.8954883945994e-159	6.06728603398589e-157
Fstl1	10054.6106047372	-1.43401218700867	0.0544188772552464	-26.3513739962436	4.94964946219956e-153	1.48320985160891e-150
Ptn	4331.13604665091	-1.84765018800434	0.0758846863024303	-24.3481297483491	6.06788375087695e-131	1.33531366792736e-128
Rspo2	179.297683952648	-3.06157819756592	0.12588970617329	-24.3195277090535	1.21846686644049e-130	2.60013444650726e-128
Col4a1	3578.07681324151	-2.19815707636788	0.090916859885866	-24.1776616474367	3.82245048419673e-129	7.91696950285688e-127
Cd34	839.955468531422	-2.66913608912685	0.110710199969295	-24.1092156808236	2.00101177005665e-128	4.08438402456202e-126
Npr3	260.568336229529	-2.52771826851612	0.105519560971295	-23.9549733267345	8.20079287970525e-127	1.62676009743336e-124
Clstn1	2761.74248535115	-0.843761349817272	0.0366740159525373	-23.0070617548198	3.96116301466077e-117	6.80353901201004e-115
Sesn3	4051.30025199264	-1.55335683528951	0.0679768943495662	-22.8512474739062	1.42024175591991e-115	2.38127201075906e-113
Ccnd2	8405.19047633534	-1.06267364885746	0.0478855345211464	-22.191955451352	4.10740001499049e-109	6.5737070239916e-107
Rbbp7	4493.92596122409	-0.916832288502997	0.0416249078190483	-22.0260497029483	1.62109896513224e-107	2.53683975832473e-105
Mgp	4375.85266579896	-1.82090040940131	0.082828591337488	-21.9839596448283	4.10087821018939e-107	6.27790964264211e-105
F2r	493.527595536585	-1.85311243975029	0.0845098024458654	-21.9277809924753	1.41144706143343e-106	2.11476812906685e-104
Fbn1	2251.46897932113	-2.55772333503054	0.117213171722906	-21.8211255393468	1.46216137352944e-105	2.12299801905038e-103
Pxdn	1272.85300726927	-2.6946776975886	0.123537211850471	-21.8126802218122	1.75865954431997e-105	2.52744500226556e-103
Six1	856.372163268451	-1.24760197744245	0.0574464636018416	-21.7176462956799	1.39758230226076e-104	1.94886625198421e-102
Aldh2	5284.48517164668	-0.931823066002115	0.0431001971940568	-21.61992581627	1.16664676348382e-103	1.59524786571904e-101
Rtl3	367.6546336795	-2.38442559711165	0.110393230682136	-21.5993823387351	1.82032980524619e-103	2.46514663241224e-101
Hmgn2	3888.38933538578	-1.37250028019459	0.0641240225523676	-21.4038393969081	1.23046387237595e-101	1.60461603505026e-99
Gas6	4550.20453595045	-1.34012318247016	0.0627903005553257	-21.3428375181824	4.54508660605512e-101	5.81936361451639e-99
Fam107b	773.601256302214	-1.27710642525211	0.060984421264081	-20.9415191417798	2.24195787114959e-97	2.69878073993768e-95
Sulf2	3652.40431945108	-1.34103022914466	0.0640361432199518	-20.9417707206145	2.23015056235655e-97	2.69878073993768e-95
Ablim1	983.177647946076	-1.72496858710904	0.0841433153534491	-20.500363931029	2.13689436644758e-93	2.44683091520713e-91
Pmp22	1605.12519423909	-1.58715916431846	0.0774596340673824	-20.4901453954428	2.63604916526411e-93	2.99404164867578e-91
Tgfbr2	4169.61673370234	-1.40637765378654	0.0689320619144593	-20.4023732168605	1.59294010572879e-92	1.79479747592675e-90
Mvb12b	387.911690511705	-2.36960481594856	0.117384201586134	-20.1867439053099	1.28029054016773e-90	1.38704707444018e-88
Gfra2	1147.40785159431	-2.7847483387203	0.141773404471534	-19.6422477763058	6.73501296098797e-86	6.49698099606538e-84
Prkar2b	605.807580776317	-1.50299536760227	0.0791523611192348	-18.988635921273	2.11757992620538e-80	1.86399973004229e-78
Mn1	482.890190892397	-1.92125147144046	0.101188749107056	-18.9868091897036	2.19252762313361e-80	1.9179850338021e-78
Fbn2	2752.73487613143	-1.65935026089154	0.0876315514370182	-18.935534447135	5.81228399636584e-80	4.99147608565955e-78
Nhs	619.245562758434	-1.91364040278978	0.10182773907859	-18.792918512242	8.63001348229924e-79	7.27815029249716e-77
Brip1os	1845.29315964007	-0.996227654970811	0.0540924335987825	-18.4171350536766	9.5738523173458e-76	7.61797378742928e-74
Nabp1	480.433202840275	-1.98402091170028	0.108191092322931	-18.3381170214857	4.10780580463156e-75	3.2320858632643e-73
Sae1	2012.2058378628	-0.658728193752574	0.0359589267993307	-18.3189058291037	5.84767173000549e-75	4.57547825807763e-73
Tpm2	1186.95388450362	-1.72204772736691	0.0944470412102018	-18.2329452071909	2.82679670501295e-74	2.18750575787925e-72
Tagln	2876.74311993906	-1.37320167646303	0.0762111531918609	-18.0183820733693	1.39771652103435e-72	1.03065128179308e-70
Psme1	726.663475259293	-0.956737023452355	0.0533057116844259	-17.9481146244949	4.9647374780736e-72	3.64184180422857e-70
Vgll3	4756.49827320972	-1.52880742377167	0.0855469791088612	-17.8709691411338	1.9851543279083e-71	1.43379043868002e-69
Sox11	130.745210871179	-2.39044699661413	0.133805371781888	-17.8651048517748	2.20517346092835e-71	1.58457464406708e-69
Wisp2	881.073221436315	-2.5371288572247	0.142047406967568	-17.8611416525468	2.36746978768615e-71	1.69256063399857e-69
Lamb1	1623.59625342701	-2.06201004088204	0.115526785804075	-17.8487614498257	2.95517773935077e-71	2.10205673136446e-69
Cald1	29120.8385662833	-0.904658458297134	0.0509519479688723	-17.7551299677455	1.57306070680561e-70	1.10223815893782e-68
Arhgap28	1014.5110463711	-1.08640516580248	0.0615158664727619	-17.6605683719585	8.43856499124342e-70	5.88360145231051e-68
Cks1b	492.45359346957	-1.47166049366598	0.0843815192843047	-17.4405545923812	4.06113908576644e-68	2.72367061352069e-66
Svep1	1592.57831441774	-2.04230860887786	0.117226627711145	-17.4218831399831	5.62934944234886e-68	3.75752405431476e-66
Chst2	151.399657714996	-2.61204915502472	0.150259442108472	-17.3835941247478	1.09848108359233e-67	7.22944279500672e-66
Ankrd1	112.342812048672	-3.09300048333313	0.180729312794613	-17.1139946005777	1.16713493247149e-65	7.30574595063488e-64
Hdgfl3	475.717305793277	-1.25332351226122	0.0732820893233084	-17.1027262436769	1.41621709883446e-65	8.78678485461877e-64
Pex19	1540.51338037316	-0.797450898733625	0.0468662371893934	-17.0154667103102	6.30686471928257e-65	3.82870184079206e-63
Tulp3	1317.16746627426	-1.17045909798022	0.0688660853596519	-16.9961613451311	8.76765718706714e-65	5.29972891942719e-63
Cyp1b1	697.205744724192	-2.04449491791661	0.120493636725654	-16.96765881979	1.425009988303e-64	8.43270616607539e-63
Ipo5	3682.34514708931	-0.824946913426594	0.0486214166256328	-16.9667395703088	1.4474881155619e-64	8.52988394124427e-63
Six2	1528.71264613115	-1.26826158028099	0.0748648105752566	-16.9406904330051	2.25462879650233e-64	1.32309133208078e-62
Sfrp2	3022.17920351662	-1.75811444448853	0.10447486597526	-16.8281091157835	1.51875365866135e-63	8.65997025448843e-62
Wee1	389.738733315329	-1.87972887367565	0.112395853116471	-16.7241835134946	8.73652705960249e-63	4.90220107997775e-61
Tmpo	3487.50160361421	-1.52010116563983	0.0914517661166978	-16.6218896603931	4.8383257884436e-62	2.7040865239857e-60
Slc26a2	1430.86489796913	-1.02503255379321	0.0617393123313577	-16.6025910410504	6.67464148466685e-62	3.71563836640505e-60
Tmeff1	2119.90111967441	-0.951617872469897	0.0573545194958604	-16.591855024408	7.98165511790049e-62	4.42573349135868e-60
Adamts5	1293.16704092491	-1.52287031697144	0.0926027817348696	-16.4451897496077	9.07995562567736e-61	4.89969712766437e-59
Fhl2	798.832330261091	-1.24762048545503	0.0761643387341514	-16.3806383169662	2.62968909912769e-60	1.38196049522815e-58
Tcf7l1	2337.51487405343	-0.846067080109403	0.0517659993123904	-16.3440692993034	4.79435597940996e-60	2.51017507858773e-58
C1s1	4646.19492988046	-0.90636552607607	0.055512013521513	-16.3273761584025	6.30377254158649e-60	3.28823453613719e-58
Ogn	5306.98356968985	-2.18060924212692	0.134173848955054	-16.2521181221937	2.15778740313273e-59	1.11728962447505e-57
Adra1d	176.722570263727	-2.28297766053153	0.140545018055078	-16.2437466096227	2.47345144267864e-59	1.27604725709472e-57
Amotl2	3792.2911879684	-0.893167218689157	0.0552332502895561	-16.1708248927375	8.10064205530406e-59	4.14870700752372e-57
Mfap5	830.23563561972	-1.51857092002589	0.0939666674084285	-16.1607404189975	9.54088135147618e-59	4.86861496210835e-57
Supt16	1674.59611830964	-0.643022543558206	0.0400193570735054	-16.0677879551422	4.29128441594637e-58	2.16625267792791e-56
Ehd2	3409.15844168169	-0.942369460095139	0.0590348539553903	-15.9629337070477	2.31584968392863e-57	1.136460869284e-55
Nudt4	4623.45824634792	-1.00329732329187	0.0631198615666467	-15.8951128597218	6.85049758162993e-57	3.32697958412675e-55
Ltbp3	2722.93822240106	-0.924373233775539	0.0582156134272836	-15.8784418707562	8.93709673761009e-57	4.32543197431273e-55
Edil3	386.360974004222	-1.58428773755708	0.100231852771237	-15.8062301928406	2.818345172059e-56	1.34099910146213e-54
Dck	399.385475047656	-1.44337699269503	0.0917399154751593	-15.73335865004	8.934352437519e-56	4.16660330231846e-54
Dclk1	1290.80055850828	-1.28440122008455	0.081960485072999	-15.6709811922243	2.38863237257137e-55	1.10662823471366e-53
Jazf1	154.320603010579	-1.65337790039726	0.105647794889752	-15.649904497511	3.32718447609212e-55	1.53137471115299e-53
Trim59	855.026669382032	-1.23097309638819	0.0798673219490611	-15.4127253343151	1.34421174441807e-53	6.01012006615367e-52
E2f1	680.158882067544	-1.22290414267201	0.079490159540371	-15.3843463108277	2.08471244540493e-53	9.26217352715554e-52
Glul	542.990258027348	-1.329298146624	0.0864739825244265	-15.3722322925108	2.51357242481024e-53	1.11324383745369e-51
Acta2	18194.4625242617	-1.91696999556548	0.125085386045266	-15.3252914362974	5.18215969032828e-53	2.28794787080199e-51
Asph	4111.93950019361	-0.999065073217796	0.0653260592979994	-15.2935150834729	8.44654230637065e-53	3.71753443259138e-51
Cx3cl1	595.937888975456	-1.17980510666349	0.0774310628965818	-15.236845040333	2.01361509298358e-52	8.83481463226814e-51
Plpp3	293.303374150137	-1.93680190314941	0.127189398222546	-15.2276992439303	2.31599239262192e-52	1.01299493346854e-50
Rab3il1	349.018251536709	-1.20320006784809	0.0792603882764571	-15.180345365599	4.77262219492904e-52	2.06823418441171e-50
Rgma	339.041515368859	-1.29742067667575	0.0858291061534281	-15.1163251584664	1.26402429782818e-51	5.42759701543051e-50
Dzip1	783.432523782654	-1.15369303910464	0.0763260969134541	-15.1153155442077	1.28354770162655e-51	5.49467654398431e-50
H1fx	533.497363722402	-1.41827044669985	0.0943883076815434	-15.0259124412417	4.96726165143529e-51	2.08211050889329e-49
Rab10	3647.71202174862	-0.587251408681597	0.0392276626068805	-14.9703390326038	1.14734860021733e-50	4.76674268007697e-49
Rybp	2191.79252666855	-0.668923588859953	0.0449878893815002	-14.8689702508032	5.24133139517428e-50	2.14589858632658e-48
Steap2	813.629756570719	-1.27250058096236	0.0857131229621233	-14.846041504341	7.37996652317551e-50	3.0040303038267e-48
Islr	1921.29234818474	-0.844302175726614	0.0569579187164575	-14.8232624146546	1.03626796239844e-49	4.18189053937524e-48
Wwc1	183.092403498249	-1.58891051080185	0.107354720676844	-14.800564900958	1.45257536642823e-49	5.82851038768524e-48
Plxna2	934.240338298309	-1.92089599357911	0.130858321520581	-14.6792039761644	8.76129344232449e-49	3.46612519218253e-47
Eml4	1905.80786254571	-0.735689007849922	0.0503805197019052	-14.6026482498175	2.70144387242585e-48	1.05980878827983e-46
Ncs1	1192.04967985689	-0.922083193023518	0.0632233461087528	-14.584536405862	3.52307066171074e-48	1.37448551799263e-46
Got2	2024.92944347996	-0.810846375165287	0.0556148559577744	-14.5796723052006	3.78328348801319e-48	1.47192720014303e-46
