gene	DAY0_rep1	DAY0_rep2	DAY0_rep3	DAY4_rep1	DAY4_rep2	DAY4_rep3	DAY7_rep1	DAY7_rep2	DAY7_rep3	EARLY_DAY10_rep1	EARLY_DAY10_rep2	EARLY_DAY10_rep3	LATE_DAY10_rep1	LATE_DAY10_rep2	LATE_DAY10_rep3	DAY14_rep1	DAY14_rep2	DAY14_rep3	DAY21_rep1	DAY21_rep2	DAY21_rep3
Xkr4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rp1	22	6	9	34	25	47	23	15	18	10	13	12	5	1	9	6	14	3	8	2	8
Sox17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl15	1925	1765	1667	1222	1234	1316	1169	1089	1277	1126	1427	1216	532	588	377	566	652	548	577	619	505
Lypla1	2673	2312	2309	2193	2234	2117	2014	1787	2192	1826	2255	1919	690	837	858	909	1024	902	1000	898	1041
Tcea1	9410	8236	8200	6703	6961	7195	6070	5634	6677	5864	6916	6087	2385	2495	2604	3004	3955	2150	2684	2843	2980
Rgs20	87	95	93	27	35	33	30	38	35	29	43	31	19	17	5	8	24	28	22	16	27
Atp6v1h	1868	1642	1688	1845	1928	1827	1590	1514	1813	1664	1887	1693	686	718	677	764	819	732	875	683	890
Oprk1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Npbwr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rb1cc1	2244	2252	2015	2492	2356	2305	2231	2201	2376	1959	2059	1664	558	730	993	935	910	1453	1252	1076	1191
Alkal1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
St18	1	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcmtd1	2034	1912	1879	2139	2193	1961	1758	1783	1997	1786	2141	1761	646	678	941	684	929	605	805	730	730
Sntg1	0	0	0	0	0	0	0	0	0	0	11	0	0	5	0	0	0	0	0	0	0
Rrs1	2141	1813	1962	1007	1118	1089	1096	974	1127	1238	1520	1374	461	593	591	789	606	476	846	616	775
Adhfe1	56	54	43	7	9	12	10	11	11	17	14	14	10	4	6	9	5	8	2	4	6
Vxn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Mybl1	306	279	302	123	128	122	137	106	128	233	306	232	48	46	228	111	129	88	116	72	85
Vcpip1	2191	2095	1998	1764	1743	1715	1641	1415	1681	1731	2002	1783	601	812	788	1030	765	781	1059	823	1278
Sgk3	13	21	20	95	84	81	160	150	185	130	150	150	52	46	73	108	77	124	135	130	172
Mcmdc2	20	18	18	18	18	19	8	8	10	14	12	19	1	4	12	0	12	4	13	7	11
Snhg6	2085	1904	1814	2338	2163	2427	1655	1608	1983	1038	1336	1189	508	438	462	561	789	386	394	362	328
Snord87	5	5	11	1	4	3	1	2	3	4	6	1	0	0	0	0	0	0	0	0	0
Tcf24	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r42	0	0	0	0	3	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0
Cops5	2394	2335	2173	1873	2072	1810	1542	1472	1859	1719	1987	1775	637	739	804	1036	995	730	896	799	945
Cspp1	620	651	650	385	452	505	492	458	407	596	658	539	192	324	203	242	233	521	218	203	230
Arfgef1	4187	3465	3685	3335	3714	3575	2764	2885	3397	3238	3575	3080	1032	1644	1291	1946	1455	1622	1721	1457	1988
Cpa6	18	17	16	15	19	18	11	15	10	19	22	12	8	8	6	10	23	10	14	5	16
